date,open1,high1,low1,close1,preclose1,open2,high2,low2,close2,preclose2,open3,high3,low3,close3,preclose3,volume,amount,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
1990-12-19,96.05,99.98,95.79,99.98,0,96.05,99.98,95.79,99.98,0,96.05,99.98,95.79,99.98,0,1260,494000,0,1,0,0,0,0,0,0
1990-12-20,104.3,104.39,99.98,104.39,0,104.3,104.39,99.98,104.39,0,104.3,104.39,99.98,104.39,0,19700,84992,0,1,0,0,0,0,0,0
1990-12-21,109.07,109.13,103.73,109.13,104.39,109.07,109.13,103.73,109.13,104.39,109.07,109.13,103.73,109.13,104.39,2800,16096,0,1,4.540663,0,0,0,0,0
1990-12-24,113.57,114.55,109.13,114.55,109.13,113.57,114.55,109.13,114.55,109.13,113.57,114.55,109.13,114.55,109.13,3200,31063,0,1,4.966559,0,0,0,0,0
1990-12-25,120.09,120.25,114.55,120.25,114.55,120.09,120.25,114.55,120.25,114.55,120.09,120.25,114.55,120.25,114.55,1500,6510,0,1,4.97599,0,0,0,0,0
1990-12-26,125.27,125.27,120.25,125.27,120.25,125.27,125.27,120.25,125.27,120.25,125.27,125.27,120.25,125.27,120.25,10000,53730,0,1,4.174634,0,0,0,0,0
1990-12-27,125.27,125.28,125.27,125.28,125.27,125.27,125.28,125.27,125.28,125.27,125.27,125.28,125.27,125.28,125.27,6600,104644,0,1,0.007984,0,0,0,0,0
1990-12-28,126.39,126.45,125.28,126.45,125.28,126.39,126.45,125.28,126.45,125.28,126.39,126.45,125.28,126.45,125.28,10800,88031,0,1,0.933907,0,0,0,0,0
1990-12-31,126.56,127.61,126.48,127.61,126.45,126.56,127.61,126.48,127.61,126.45,126.56,127.61,126.48,127.61,126.45,7800,60030,0,1,0.917362,0,0,0,0,0
1991-1-2,127.61,128.84,127.61,128.84,127.61,127.61,128.84,127.61,128.84,127.61,127.61,128.84,127.61,128.84,127.61,9100,59098,0,1,0.963871,0,0,0,0,0
1991-1-3,128.84,130.14,128.84,130.14,128.84,128.84,130.14,128.84,130.14,128.84,128.84,130.14,128.84,130.14,128.84,14100,93918,0,1,1.009006,0,0,0,0,0
1991-1-4,131.27,131.44,130.14,131.44,130.14,131.27,131.44,130.14,131.44,130.14,131.27,131.44,130.14,131.44,130.14,42000,261904,0,1,0.998927,0,0,0,0,0
1991-1-7,131.99,132.06,131.45,132.06,131.44,131.99,132.06,131.45,132.06,131.44,131.99,132.06,131.45,132.06,131.44,21700,141737,0,1,0.471694,0,0,0,0,0
1991-1-8,132.62,132.68,132.06,132.68,132.06,132.62,132.68,132.06,132.68,132.06,132.62,132.68,132.06,132.68,132.06,292600,1806867,0,1,0.46948,0,0,0,0,0
1991-1-9,133.3,133.34,132.68,133.34,132.68,133.3,133.34,132.68,133.34,132.68,133.3,133.34,132.68,133.34,132.68,560300,3228719,0,1,0.49744,0,0,0,0,0
